spp,x,G,N
Species1,-0.1322345194384379,6.620164852730003,29857.71941777455
Species2,-6.308673764088181,9.630374892765975,328420.0032796757
Species3,-0.654117489607918,16.299631195540126,16148.813762397363
Species4,-0.778534051781596,7.564165141186522,13728.259293821087
Species5,-0.649529423980979,7.087039942591916,11191.810378314321
Species6,0.3454366652226264,10.567855479666854,7214.477549367261
Species7,2.0907290546828285,14.015963510428714,9608.702645241114
Species8,0.7693689009477817,11.36976117047929,13253.66051776578
Species9,-4.788322367973713,9.913625118781459,82416.59907932954
Species10,-0.5890580611402398,14.663325726511083,20144.519947621007
Species11,0.21002580583991273,14.09138037795985,15605.416553310515
Species12,-3.287087389069587,5.499487219604462,13860.772221877973
Species13,1.5930773662171829,9.827509527258313,16354.863787368144
Species14,-1.0092694252036736,6.655945162505293,15223.009887644143
Species15,-3.980750745752909,9.696928503062683,10779.014289631179
Species16,1.7401461941189476,10.019197203848353,4707.517690378283
Species17,4.3861650423703376,9.932899802868365,11620.036393522836
Species18,1.756013957905297,4.131259451715041,6642.437931659374
Species19,-2.0006053402942565,9.151844973215692,11459.95606933647
Species20,-2.8546424205051704,8.998991341698124,26041.852265400983
Species21,1.5799243672748127,17.11671114296179,31459.0684987908
Species22,2.4140223095690567,8.898416957101274,26899.289790309624
Species23,3.1694667731429687,12.394250145620724,16766.984515356497
Species24,-1.9331448890678706,6.485165944189941,3778.018730943305
Species25,0.2871637531754655,15.781037887930042,23388.623057595723
Species26,-1.6677424039626287,15.684458619133807,9594.573399820587
Species27,1.1365229934598082,7.9067286456824295,15510.50199264253
Species28,-2.1105087940259755,7.707798220974508,13600.492560917983
Species29,0.18214366256113937,11.45917733918182,13771.887589118905
Species30,-2.118629278680116,6.0762464847462905,19107.121545873913
Species31,-2.0981856646863064,14.8064182569687,34316.68880728481
Species32,2.7795981225400483,14.662567879794574,8018.259684837418
Species33,2.7358283673080157,12.5383524777833,31546.74136705219
Species34,-2.304211278440726,3.4914714713999544,13134.315282220585
Species35,-1.6681901403423436,3.9104055593878218,9147.241196450506
Species36,-0.7457117701087345,5.290214912527653,6606.4691431363635
Species37,-0.35260112249824,11.562998743338007,12994.73365845201
Species38,-6.175437017946693,8.39751333930639,63227.02963146846
Species39,0.1609182166239772,11.64473423475237,24991.838191750558
Species40,-0.40388105797088975,16.620204245968427,22290.96255492119
Species41,2.583068643258986,5.597290324401143,13052.821098712531
Species42,1.2846273502149674,15.20197682684731,31182.252518266527
Species43,1.3005417895506073,6.883499200881528,10684.898781504911
Species44,-2.398807746081759,9.901141755254937,14759.896720099787
Species45,3.362607478428289,5.991260234555019,32767.754660063914
Species46,0.5066561101541579,9.374804637180963,23425.7886459928
Species47,0.4059890870994747,6.279437056961595,7900.912925444045
Species48,0.2957174522282913,13.302433122124304,17808.45399200345
Species49,1.1979706844076043,14.45129415142887,16111.364498547593
Species50,-0.3267024224100525,9.295044194989654,18166.35566489521
Species51,1.0707006370553585,7.04643956982893,25288.444526287338
Species52,-0.4745741670710887,6.0465666242000635,23456.926784528947
Species53,-1.3119534809393982,8.00961313785888,7506.040643268104
Species54,1.9738368468932244,11.335506937127523,11360.987041416089
Species55,-0.12042761238295573,15.932801013554888,17415.831293341565
Species56,1.4646263506081674,9.447133920505248,8949.587921781782
Species57,0.753456230475651,19.558158419362496,22656.45812606499
Species58,3.110966322791719,6.756977455541596,2818.4226917460314
Species59,-0.7179273840058658,9.36965223660731,18693.695691952216
Species60,-1.4975242567612763,11.470711402554224,15617.473279108292
Species61,1.4412008858735974,14.025015201176267,13724.901619172915
Species62,-1.7748660266365444,2.6742024789188124,10466.27924855299
Species63,-2.416106496302381,5.883083765732567,14239.611991418986
Species64,2.0361619736503256,5.899451449153628,26301.049115153815
Species65,0.3052873881714436,10.757610392916455,31569.25427981473
Species66,0.08875675007074818,18.040850169581216,18322.74095975962
Species67,-0.5696550116860105,8.615119557160066,12576.337238956316
Species68,3.7600292657043037,10.000508061017642,16141.3179956285
Species69,4.101907832511563,7.140979404722182,12605.97620656205
Species70,-1.3807529155123062,10.622877784256923,17353.329133345975
Species71,1.0702813461633358,16.16491908575479,32710.639094208364
Species72,0.6746576718218652,15.6927090143073,31227.04085394227
Species73,-0.004370416004250475,8.958597576654467,12102.598139015381
Species74,0.14130309756621895,5.614249635521057,14500.813798752244
Species75,3.087846427977485,11.657826616837385,24525.929930426024
Species76,-1.2191923099959354,4.0077999863047955,8642.219315745453
Species77,-2.4014783001831783,6.702682924130893,4915.30928227505
Species78,5.80906567379562,5.997235518794861,4732.705639707024
Species79,-2.036922500562829,6.454995922649278,10471.194327203411
Species80,1.8520280665733106,1.9165551407831658,6990.907970273716
Species81,-0.7071897960291497,12.515637785562543,21098.88616594766
Species82,-0.7763911209809635,13.988013726709728,37241.86257225731
Species83,-4.208620209835379,9.714865552467332,51080.67834612702
Species84,-0.5703904949316875,11.09344264413942,7803.336036845206
Species85,3.395348042008321,5.829049148365865,6911.281895580241
Species86,1.4794534853851131,14.136595438132185,12484.344186505625
Species87,0.7035935473514504,7.87441731036378,13095.222974443992
Species88,4.838719572008908,8.818422378766208,17830.978627400254
Species89,-6.424811241247424,8.173252466103374,64127.90683656168
Species90,1.4575695490239313,8.740728912659154,15480.05280443617
Species91,-1.235785733741747,11.756234914774044,17953.036044872537
Species92,-0.5984679541808815,16.71268983583599,34472.73061231797
Species93,-0.13848876275927086,16.38664315727738,7325.0946073055975
Species94,0.6965329539804057,18.385242204254865,31478.28395062357
Species95,0.7832446196130358,12.12013246750628,41210.59785769923
Species96,1.5295541890809472,11.157591130290879,14048.547868977746
Species97,2.194167411514425,9.663410352372743,17843.511724634387
Species98,-1.8967232386204191,13.012829252255546,19348.025734004386
Species99,1.795748737926536,14.593077355179188,22264.10262768748
Species100,5.450761631919108,8.604219562530908,24132.97186317181
Species101,-3.871589926281851,4.763966729793737,15910.120612616116
Species102,-0.6847035181965347,15.999754138859577,37282.96954448205
Species103,-5.847649584793526,7.58883097571145,40678.17602302767
Species104,2.115487646124134,14.012297475637128,14433.683843520954
Species105,-0.7129713073620033,14.863897375081763,17223.85442887789
Species106,-8.338112943087223,5.344342447439193,178496.12682324383
Species107,4.068156223336742,2.2536920006506587,64681.086985091264
Species108,-0.4564530644020071,20.596611151919532,12961.978806296722
Species109,-1.4869791299844355,19.58134207468185,7163.466583149197
Species110,-1.2018380671106044,3.9520276639977903,12714.422636628653
Species111,4.240223787062849,2.7390721790462496,72716.38575781151
Species112,-2.8724105739646024,16.3302819641911,11146.031378818634
Species113,-0.5950696421754016,6.912000189986679,16080.14960054442
Species114,0.9104190636696815,16.23724028023699,25154.486868442647
Species115,3.223753695998001,11.584810658354561,9763.467756281365
Species116,-6.1466329456891415,9.321257629997637,138001.75741497122
Species117,-0.36844429769285114,18.446716204163515,21245.94524363706
Species118,1.337971489354942,2.2425095676436544,4357.722078201711
Species119,-0.8022245717588431,14.948382192961473,37595.78208793529
Species120,2.1745004572082256,13.811401721050338,11587.595325008817
Species121,-2.142943523291377,9.04960818025763,31152.888948243108
Species122,2.6240967872078187,4.064467313463416,9174.796704844244
Species123,5.127088718957555,7.61218445818413,35639.106078587676
Species124,-1.783308371624983,12.934221494978065,9094.258452712456
Species125,-1.2211506757259725,14.994357024920049,26455.583662235535
Species126,-0.653772072956195,12.35926429150557,19540.89235173594
Species127,0.9724143239063705,13.69890677011285,28302.25142854366
Species128,0.2143459043576779,11.526208520173151,12102.613913430343
Species129,1.4727250666161082,15.49865858941703,26600.32395679977
Species130,3.3385385849264524,12.276699999353232,9833.05247247495
Species131,-4.08018574151143,7.613022622888891,11808.665959637505
Species132,0.785990913959339,16.78670310320562,16051.319089171631
Species133,1.8439146978461693,10.165708312080362,17661.742593044775
Species134,1.6873909363008315,14.838066488663149,25424.823618072827
Species135,4.750778887237388,12.35438065295045,12232.357316981666
Species136,-2.893018643714997,5.4905739540947405,30637.024361802112
Species137,-0.3470626448742949,6.163538409073927,13015.422370473983
Species138,-7.141140798918101,7.0825221931414815,130221.04110598467
Species139,0.5890994008786816,12.670904758916416,21106.292928915835
Species140,-1.9538250433408375,9.903586589612106,10395.36650511265
Species141,-5.152858814428889,13.511374502428216,702448.5885261376
Species142,-0.7578950848658969,12.468596343710063,20790.95342353929
Species143,0.10383249500826078,5.707372368744877,14007.474650844442
Species144,1.5935357869849074,20.852350649891893,12751.338343124835
Species145,-1.8757909987882873,7.265008455055823,9451.10855713788
Species146,-4.798115890778752,10.797639662865594,9959.729885429333
Species147,1.2761176586916407,3.7345401321803813,15549.432015363369
Species148,5.110474904846932,10.139781011015916,19281.148356275666
Species149,-0.8881838341276878,1.8558294704770004,4529.921079844458
Species150,-2.2660997673992735,6.519191770799102,11624.414407302347
Species151,-1.46091716197914,13.864198581794337,19902.7675152008
Species152,-0.29463178731392153,15.546341006233963,29189.89740998026
Species153,0.14061016222262007,20.52871198162621,7002.48606309289
Species154,1.1079352107692189,13.685079255069624,29707.97911496169
Species155,-2.256079095731045,1.2569579423009805,445.74813160025434
Species156,0.7419384611587884,13.302099996153908,15255.636896079415
Species157,-4.584176246688372,10.476983426588298,24703.957998424023
Species158,3.3532307886442903,12.303193110247786,14512.516439844998
